0,7648,20400,17778,17754,24712,23343,21708,21935,26965,25637,31064,30505,34518,20902,20976,30021,32679,37187,42746,39039,42731,45639,36989,39277,43231,42855,51019,48191,51360,33654,51452,60859
12530,0,12753,10131,10107,17064,15695,14060,14288,19317,17989,23416,22857,26870,13254,13328,22373,25031,29539,35098,31391,35083,37991,29341,31629,35583,35207,43371,40543,43712,26006,43804,53211
11504,19153,0,9856,8400,16789,15420,13785,14012,19042,17714,23141,22582,26595,12979,13053,22098,24756,29264,34823,31116,34808,37716,29066,31354,35308,34932,43096,40268,43437,25731,43529,52936
14126,21775,2622,0,4369,11327,9958,8323,8550,13580,12252,17679,17120,21133,7517,7591,16636,19294,23802,29361,25654,29346,32254,23604,25892,29846,29470,37634,34806,37975,20269,38067,47474
15650,23299,4146,1524,0,9082,7713,6078,6305,11335,10007,15434,14875,18888,5272,5346,14391,17049,21557,27116,23409,27101,30009,21359,23647,27601,27225,35389,32561,35730,18024,35822,45229
16391,24040,4887,2265,2238,0,7687,5503,10815,13893,14517,19944,19385,23398,9782,9856,18901,21559,26067,31626,27919,31611,34519,25869,28157,32111,31735,39899,37071,40240,22534,40332,49739
17760,25409,6256,3634,3607,1369,0,4115,4343,9372,8044,13471,12912,16925,3781,3855,12428,15086,19594,25153,21446,25138,28046,19396,21684,25638,25262,33426,30598,33767,16533,33859,43266
19944,27593,8440,5818,5791,3553,2184,0,1296,6325,4997,10424,9865,13878,5965,6039,9381,12039,16547,22106,18399,22091,24999,16349,18637,22591,22215,30379,27551,30720,18717,30812,40219
20123,27772,8619,5997,5970,3732,2363,728,0,5992,4664,10091,9532,13545,6144,6218,9048,11706,16214,21773,18066,21758,24666,16016,18304,22258,21882,30046,27218,30387,18896,30479,39886
21253,28902,9749,7127,7100,4862,3493,1863,2600,0,6300,11727,11168,15181,7274,7348,10684,13342,17850,23409,19702,23394,26302,17652,19940,23894,23518,31682,28854,32023,20026,32115,41522
25811,33460,14307,11685,11658,9420,8051,6422,7159,4558,0,10228,9669,13682,11832,11906,9185,11843,16351,21910,18203,21895,24803,16153,18441,22395,22019,30183,27355,30524,33814,30616,40023
24734,32383,13230,10608,10581,8343,6974,5344,6081,3481,2857,0,8767,12780,10755,10829,8283,10941,15449,21008,17301,20993,23901,15251,17539,21493,21117,29281,26453,29622,23507,29714,39121
29531,37180,18027,15405,15378,13140,11771,10141,10879,8278,7654,4797,0,4013,15552,15626,4699,7358,11866,17425,13718,17410,20318,11668,13956,17909,17533,25697,22870,26039,29329,26131,35537
